# lag   C(lag)   C_norm(lag)
     274  -6.553947476474E-05  -5.144297165305E-03
     275  -7.437635435240E-06  -5.837917838588E-04
     276   6.563736979173E-05   5.151981101004E-03
     277   1.317008420107E-04   1.033740765632E-02
     278   1.738646786187E-04   1.364691396407E-02
     279   1.902842151232E-04   1.493570938696E-02
     280   1.950305964365E-04   1.530826037281E-02
     281   2.111613930373E-04   1.657439214340E-02
     282   2.592396883763E-04   2.034813368334E-02
     283   3.469902411360E-04   2.723581353485E-02
     284   4.636605474719E-04   3.639345064307E-02
     285   5.831333814446E-04   4.577106258370E-02
     286   6.769816937332E-04   5.313736523730E-02
     287   7.280901539670E-04   5.714894921852E-02
     288   7.345634202795E-04   5.765704614272E-02
     289   7.042694801544E-04   5.527922680756E-02
     290   6.460083456296E-04   5.070621809397E-02
     291   5.667122120496E-04   4.448213899264E-02
     292   4.756550607418E-04   3.733491898463E-02
     293   3.868481692958E-04   3.036432543677E-02
     294   3.138930050137E-04   2.463795905746E-02
     295   2.633146027509E-04   2.066798016580E-02
     296   2.350417191532E-04   1.844879675811E-02
     297   2.274767653057E-04   1.785501155045E-02
     298   2.390572508926E-04   1.876398220350E-02
     299   2.657573964560E-04   2.085971891223E-02
     300   2.973336382086E-04   2.333818813283E-02
     301   3.177300052879E-04   2.493913128541E-02
     302   3.124229074979E-04   2.452256877534E-02
     303   2.775970977909E-04   2.178903581984E-02
     304   2.236313907392E-04   1.755318201103E-02
     305   1.714161612249E-04   1.345472595626E-02
     306   1.429761275200E-04   1.122242267195E-02
     307   1.500390811478E-04   1.177680508738E-02
     308   1.885468259814E-04   1.479933896182E-02
     309   2.423580956121E-04   1.902307073289E-02
     310   2.916905104475E-04   2.289525009817E-02
     311   3.201523034648E-04   2.512926130537E-02
     312   3.174440518137E-04   2.491668634437E-02
     313   2.809806122610E-04   2.205461322887E-02
     314   2.182711073280E-04   1.713244487732E-02
     315   1.478607611801E-04   1.160582530343E-02
     316   9.476900268446E-05   7.438569100811E-03
     317   7.941865718177E-05   6.233696172864E-03
     318   1.048730457246E-04   8.231651440212E-03
     319   1.533588591874E-04   1.203737972305E-02
     320   1.962837559043E-04   1.540662284399E-02
     321   2.066958407010E-04   1.622388386869E-02
     322   1.691665867583E-04   1.327815329386E-02
     323   8.707423733861E-05   6.834594783067E-03
     324  -1.707750306308E-05  -1.340440260061E-03
     325  -1.123542905263E-04  -8.818866192306E-03
     326  -1.747161536869E-04  -1.371374759060E-02
     327  -1.972446400707E-04  -1.548204416391E-02
     328  -1.907515953642E-04  -1.497239480224E-02
     329  -1.762513003609E-04  -1.383424368417E-02
     330  -1.751538753178E-04  -1.374810505461E-02
     331  -2.001199861462E-04  -1.570773463089E-02
     332  -2.494440928269E-04  -1.957926187595E-02
     333  -3.084010543497E-04  -2.420688715256E-02
     334  -3.552422667062E-04  -2.788352809010E-02
     335  -3.689022942698E-04  -2.895572528615E-02
     336  -3.371227852132E-04  -2.646130129295E-02
     337  -2.618458554835E-04  -2.055269586682E-02
     338  -1.588084704426E-04  -1.246512834070E-02
     339  -5.100834801976E-05  -4.003726014998E-03
     340   4.030137421445E-05   3.163318685014E-03
     341   9.794816201037E-05   7.688106350950E-03
     342   1.066662625893E-04   8.372403871735E-03
     343   5.436724321776E-05   4.267371018375E-03
     344  -6.218438459839E-05  -4.880950824889E-03
     345  -2.327322858665E-04  -1.826752568212E-02
     346  -4.335540902167E-04  -3.403034713528E-02
     347  -6.328867306185E-04  -4.967628175182E-02
     348  -8.008101961949E-04  -6.285686049545E-02
     349  -9.175285503379E-04  -7.201826895214E-02
     350  -9.765641242810E-04  -7.665206464211E-02
     351  -9.852932600194E-04  -7.733722833003E-02
     352  -9.612998938596E-04  -7.545395102327E-02
     353  -9.229841512503E-04  -7.244648770747E-02
     354  -8.800399131714E-04  -6.907572645239E-02
     355  -8.317881234939E-04  -6.528836706708E-02
     356  -7.739071912358E-04  -6.074520103150E-02
     357  -7.069682240343E-04  -5.549105548854E-02
     358  -6.387617906398E-04  -5.013742451688E-02
