# lag   C(lag)   C_norm(lag)
     289   2.715855904648E+01   7.089853081853E-02
     290   2.594407118085E+01   6.772806049928E-02
     291   2.410418949720E+01   6.292497400167E-02
     292   2.183963028380E+01   5.701324941765E-02
     293   1.967682704496E+01   5.136716297321E-02
     294   1.816009132487E+01   4.740766224967E-02
     295   1.749683430133E+01   4.567620262239E-02
     296   1.760297881715E+01   4.595329722867E-02
     297   1.839284507446E+01   4.801527544668E-02
     298   1.986780955464E+01   5.186573063744E-02
     299   2.188495396710E+01   5.713156874940E-02
     300   2.388655481121E+01   6.235682973947E-02
     301   2.495764083843E+01   6.515294368572E-02
     302   2.428205150507E+01   6.338929005854E-02
     303   2.164695200415E+01   5.651025487643E-02
     304   1.766898265209E+01   4.612560294334E-02
     305   1.361118846513E+01   3.553256500908E-02
     306   1.079809180509E+01   2.818886095223E-02
     307   9.934406949793E+00   2.593417626054E-02
     308   1.082316448556E+01   2.825431421160E-02
     309   1.260734017532E+01   3.291197793042E-02
     310   1.426189174837E+01   3.723125258308E-02
     311   1.500495706300E+01   3.917105502324E-02
     312   1.440117194690E+01   3.759484924635E-02
     313   1.234174446173E+01   3.221862944116E-02
     314   9.166085797377E+00   2.392844242135E-02
     315   5.805318433831E+00   1.515502156016E-02
     316   3.593877972672E+00   9.381965654636E-03
     317   3.643948290680E+00   9.512676270700E-03
     318   6.127012257955E+00   1.599481646477E-02
     319   1.007727564350E+01   2.630714083743E-02
     320   1.391171933567E+01   3.631711315651E-02
     321   1.610892704949E+01   4.205301389211E-02
     322   1.573057440363E+01   4.106530881260E-02
     323   1.287038968450E+01   3.359867944877E-02
     324   8.739578450767E+00   2.281502752308E-02
     325   5.048599861385E+00   1.317957673123E-02
     326   3.093104150316E+00   8.074675079439E-03
     327   3.206086466803E+00   8.369620044437E-03
     328   4.768817686904E+00   1.244919390474E-02
     329   6.610251313748E+00   1.725633181362E-02
     330   7.549438063821E+00   1.970811729423E-02
     331   6.927409984571E+00   1.808428751478E-02
     332   4.869049950729E+00   1.271085433501E-02
     333   2.148272265518E+00   5.608152743404E-03
     334  -1.183580362302E-01  -3.089785015811E-04
     335  -8.276506120449E-01  -2.160615823712E-03
     336   7.097369312299E-01   1.852797330143E-03
     337   4.476784253503E+00   1.168682866501E-02
     338   9.773871330199E+00   2.551509144997E-02
     339   1.560105556949E+01   4.072719459092E-02
     340   2.107139833160E+01   5.500774843930E-02
     341   2.547303761370E+01   6.649840807847E-02
     342   2.809915715526E+01   7.335400070884E-02
     343   2.823012235632E+01   7.369589073060E-02
     344   2.546503472899E+01   6.647751622013E-02
     345   2.011150013509E+01   5.250189487941E-02
     346   1.323672948335E+01   3.455502449910E-02
     347   6.346023373727E+00   1.656655395330E-02
     348   8.655444615747E-01   2.259539270060E-03
     349  -2.301886828645E+00  -6.009169852574E-03
     350  -2.965699972660E+00  -7.742081255131E-03
     351  -1.678748069649E+00  -4.382440598150E-03
     352   5.325149098336E-01   1.390151984188E-03
     353   2.719964336367E+00   7.100578311137E-03
     354   4.476190151219E+00   1.168527773667E-02
     355   5.999419982678E+00   1.566173160392E-02
     356   7.700886291522E+00   2.010347909604E-02
     357   9.698541096931E+00   2.531843879046E-02
     358   1.168430012638E+01   3.050234407448E-02
     359   1.323998000060E+01   3.456351010755E-02
     360   1.420709594170E+01   3.708820588530E-02
     361   1.475134373705E+01   3.850898704772E-02
     362   1.516613988014E+01   3.959182936952E-02
     363   1.572085275131E+01   4.103993004101E-02
     364   1.656489461604E+01   4.324333590126E-02
     365   1.752387456295E+01   4.574679233294E-02
     366   1.806934126452E+01   4.717075549998E-02
     367   1.773068140260E+01   4.628667005876E-02
     368   1.661717750547E+01   4.337982252564E-02
     369   1.543843201249E+01   4.030265913424E-02
     370   1.488578524699E+01   3.885995211620E-02
     371   1.488764056071E+01   3.886479548867E-02
     372   1.443362266534E+01   3.767956317602E-02
     373   1.226596197294E+01   3.202079615009E-02
     374   7.961444277174E+00   2.078367639016E-02
     375   2.469902511516E+00   6.447781674711E-03
     376  -2.361472373357E+00  -6.164720357695E-03
     377  -4.906214564146E+00  -1.280787408062E-02
     378  -4.642215616584E+00  -1.211869401449E-02
     379  -2.172818594140E+00  -5.672231939701E-03
     380   1.363563416388E+00   3.559638150697E-03
     381   4.806755404508E+00   1.254823187049E-02
     382   7.247732761666E+00   1.892050324496E-02
     383   8.302289628203E+00   2.167346714021E-02
     384   8.241871478983E+00   2.151574308692E-02
     385   7.702265373134E+00   2.010707924507E-02
     386   7.294006207174E+00   1.904130196984E-02
     387   7.412735623556E+00   1.935124997452E-02
     388   7.993965440499E+00   2.086857421910E-02
     389   8.280836497422E+00   2.161746286358E-02
     390   7.196779778343E+00   1.878748839494E-02
     391   4.249037290956E+00   1.109228589066E-02
     392   2.799622496999E-02   7.308529202304E-05
     393  -4.177446383213E+00  -1.090539489360E-02
     394  -7.189765119481E+00  -1.876917634065E-02
     395  -8.458638102883E+00  -2.208162123748E-02
     396  -8.114187367326E+00  -2.118241848344E-02
     397  -6.905437407319E+00  -1.802692720186E-02
     398  -6.037622103708E+00  -1.576145980564E-02
     399  -6.599451829901E+00  -1.722813931869E-02
     400  -8.854500002223E+00  -2.311503494040E-02
     401  -1.212103876744E+01  -3.164246818600E-02
     402  -1.529244209828E+01  -3.992154648336E-02
     403  -1.735672982568E+01  -4.531045414996E-02
     404  -1.761814508372E+01  -4.599288938879E-02
     405  -1.593250888651E+01  -4.159246705148E-02
     406  -1.296946599928E+01  -3.385732222672E-02
     407  -1.002094849642E+01  -2.616009651280E-02
     408  -8.242092284108E+00  -2.151631950774E-02
     409  -7.973174140301E+00  -2.081429767832E-02
     410  -8.686942224938E+00  -2.267761849955E-02
     411  -9.375463857766E+00  -2.447503242422E-02
     412  -8.975451212300E+00  -2.343078302852E-02
     413  -6.672623094805E+00  -1.741915590285E-02
     414  -2.219309832127E+00  -5.793599220770E-03
     415   3.731940722612E+00   9.742384118471E-03
     416   9.603958021413E+00   2.507152579765E-02
     417   1.345273817317E+01   3.511892403171E-02
     418   1.390950408850E+01   3.631133016304E-02
     419   1.086383315821E+01   2.836048144736E-02
     420   5.372406031177E+00   1.402488600073E-02
     421  -1.053244553780E+00  -2.749538049049E-03
     422  -7.139503406655E+00  -1.863796608058E-02
     423  -1.208020507522E+01  -3.153587015989E-02
     424  -1.535351393972E+01  -4.008097702697E-02
     425  -1.651277389052E+01  -4.310727261240E-02
     426  -1.529913164747E+01  -3.993900982555E-02
     427  -1.202140719644E+01  -3.138237588893E-02
     428  -7.736837176028E+00  -2.019733035261E-02
     429  -3.757784887161E+00  -9.809851368615E-03
     430  -7.966071332605E-01  -2.079575550789E-03
     431   1.337968787478E+00   3.492822323560E-03
     432   3.136683619881E+00   8.188441069775E-03
     433   4.656099301938E+00   1.215493794378E-02
     434   5.383389050978E+00   1.405355762379E-02
     435   4.582420175956E+00   1.196259556747E-02
     436   1.819614587584E+00   4.750178413179E-03
     437  -2.699554466869E+00  -7.047297510816E-03
     438  -8.257444945058E+00  -2.155639825800E-02
     439  -1.389879491951E+01  -3.628337343873E-02
     440  -1.840673275277E+01  -4.805152979976E-02
     441  -2.039043629846E+01  -5.323006915923E-02
     442  -1.898942899463E+01  -4.957268220666E-02
     443  -1.454430785557E+01  -3.796851139882E-02
     444  -8.432822396838E+00  -2.201422827942E-02
     445  -2.331346076000E+00  -6.086074424459E-03
     446   2.428483695238E+00   6.339656158283E-03
     447   5.225637250482E+00   1.364174008701E-02
     448   6.286710370563E+00   1.641171492905E-02
     449   6.460567107828E+00   1.686557506293E-02
     450   6.635415724990E+00   1.732202453992E-02
     451   7.219415791459E+00   1.884658063436E-02
     452   8.029640317096E+00   2.096170494572E-02
     453   8.444146845818E+00   2.204379121734E-02
     454   7.690522619454E+00   2.007642430560E-02
     455   5.256405589252E+00   1.372206209565E-02
     456   1.286794343225E+00   3.359229340705E-03
     457  -3.287591908343E+00  -8.582393338080E-03
     458  -7.143576111802E+00  -1.864859804418E-02
     459  -9.367762509061E+00  -2.445492773798E-02
     460  -9.968808570451E+00  -2.602398310037E-02
     461  -9.575665660442E+00  -2.499766743047E-02
     462  -8.743474217170E+00  -2.282519758085E-02
     463  -7.713462089547E+00  -2.013630873189E-02
     464  -6.706712280190E+00  -1.750814711761E-02
     465  -6.078237846012E+00  -1.586748886457E-02
     466  -5.988734329453E+00  -1.563383626849E-02
     467  -6.077377299399E+00  -1.586524237239E-02
     468  -5.679510099719E+00  -1.482659375079E-02
     469  -4.329098845065E+00  -1.130128985702E-02
     470  -1.956462682780E+00  -5.107425971052E-03
     471   1.172638749842E+00   3.061221488310E-03
     472   4.560171992045E+00   1.190451577208E-02
     473   7.770287650426E+00   2.028465418617E-02
     474   1.069187764981E+01   2.791158454929E-02
     475   1.335780048759E+01   3.487108531481E-02
     476   1.554652087272E+01   4.058482953123E-02
     477   1.665169322160E+01   4.346992721637E-02
     478   1.599897260097E+01   4.176597330046E-02
     479   1.341057906247E+01   3.500886594638E-02
     480   9.511859396569E+00   2.483109856509E-02
     481   5.390631681081E+00   1.407246480634E-02
     482   1.924060662440E+00   5.022839169753E-03
     483  -4.789083325593E-01  -1.250209818462E-03
     484  -1.627553681452E+00  -4.248795550816E-03
     485  -1.435010892390E+00  -3.746154713322E-03
     486  -1.825012420551E-01  -4.764269677237E-04
     487   1.309465858722E+00   3.418414260548E-03
     488   1.946809148590E+00   5.082225024637E-03
     489   9.116485470589E-01   2.379895873662E-03
     490  -1.907069990685E+00  -4.978484325190E-03
     491  -5.943705239188E+00  -1.551628598393E-02
     492  -1.035104777740E+01  -2.702183420682E-02
     493  -1.434262183746E+01  -3.744200178741E-02
     494  -1.723510507881E+01  -4.499294776646E-02
     495  -1.826340851186E+01  -4.767737599823E-02
     496  -1.644776963540E+01  -4.293757634179E-02
     497  -1.099536032286E+01  -2.870383849808E-02
     498  -2.236654607062E+00  -5.838878466187E-03
     499   7.904582249008E+00   2.063523573654E-02
     500   1.659520482351E+01   4.332246193938E-02
     501   2.135081668026E+01   5.573718148357E-02
     502   2.100407291112E+01   5.483199267144E-02
     503   1.604327054108E+01   4.188161488758E-02
     504   8.315091972273E+00   2.170688818380E-02
     505   2.620416507659E-01   6.840704626769E-04
     506  -5.936741512584E+00  -1.549810689040E-02
     507  -9.033045052718E+00  -2.358113410801E-02
     508  -8.954735126643E+00  -2.337670283837E-02
     509  -6.530662721762E+00  -1.704856253426E-02
     510  -3.023648193097E+00  -7.893357458170E-03
     511   1.897132227087E-01   4.952541386262E-04
     512   1.938243584322E+00   5.059864268266E-03
     513   1.707905214486E+00   4.458556519038E-03
     514  -1.101978159995E-01  -2.876759124223E-04
     515  -2.558708480331E+00  -6.679613293837E-03
     516  -4.810245474727E+00  -1.255734284175E-02
     517  -6.577159733657E+00  -1.716994488835E-02
     518  -7.950524449946E+00  -2.075516973390E-02
     519  -8.959715080748E+00  -2.338970321255E-02
     520  -9.393871589294E+00  -2.452308656137E-02
     521  -9.083548549964E+00  -2.371297555621E-02
     522  -8.311650834719E+00  -2.169790495326E-02
     523  -7.820285610267E+00  -2.041517590827E-02
     524  -8.227854141542E+00  -2.147915025337E-02
     525  -9.390280267319E+00  -2.451371126825E-02
     526  -1.046826332262E+01  -2.732783018882E-02
     527  -1.059605725240E+01  -2.766144147700E-02
     528  -9.402765293738E+00  -2.454630394111E-02
     529  -6.912595444334E+00  -1.804561355068E-02
     530  -3.235101272101E+00  -8.445364382130E-03
     531   1.352775227621E+00   3.531475142030E-03
     532   6.131285342137E+00   1.600597152605E-02
     533   1.002374525095E+01   2.616739755506E-02
     534   1.208450304521E+01   3.154709018660E-02
     535   1.185085168356E+01   3.093713373654E-02
     536   9.288066895301E+00   2.424687907389E-02
     537   4.710866075636E+00   1.229790884980E-02
     538  -1.048494898115E+00  -2.737138878387E-03
     539  -6.609306334401E+00  -1.725386490633E-02
     540  -1.053271037317E+01  -2.749607185405E-02
     541  -1.210392647071E+01  -3.159779583446E-02
     542  -1.172740856721E+01  -3.061488042501E-02
     543  -1.059236606811E+01  -2.765180548924E-02
     544  -9.915853582470E+00  -2.588574193519E-02
     545  -1.025944794666E+01  -2.678270909669E-02
     546  -1.136577760899E+01  -2.967082799599E-02
     547  -1.251214803656E+01  -3.266347495307E-02
     548  -1.285179216609E+01  -3.355012986519E-02
     549  -1.157556764010E+01  -3.021849346531E-02
     550  -8.227648091330E+00  -2.147861235085E-02
     551  -3.094409205458E+00  -8.078081979342E-03
     552   2.779279356446E+00   7.255422600627E-03
     553   8.004986253743E+00   2.089734450350E-02
     554   1.139252146348E+01   2.974064392359E-02
     555   1.234428590408E+01   3.222526398051E-02
     556   1.104936497228E+01   2.884481984745E-02
     557   8.429030066235E+00   2.200432824505E-02
     558   5.685507815706E+00   1.484225103404E-02
     559   3.650833976219E+00   9.530651634841E-03
     560   2.414116531038E+00   6.302150087654E-03
