# lag   C(lag)   C_norm(lag)
     448   1.117637399211E-05   1.641171492904E-02
     449   1.148545263614E-05   1.686557506293E-02
     450   1.179629462220E-05   1.732202453992E-02
     451   1.283451696259E-05   1.884658063436E-02
     452   1.427491611928E-05   2.096170494572E-02
     453   1.501181661479E-05   2.204379121734E-02
     454   1.367204021236E-05   2.007642430560E-02
     455   9.344721047558E-06   1.372206209565E-02
     456   2.287634387954E-06   3.359229340703E-03
     457  -5.844607837055E-06  -8.582393338082E-03
     458  -1.269969086543E-05  -1.864859804418E-02
     459  -1.665380001611E-05  -2.445492773798E-02
     460  -1.772232634747E-05  -2.602398310037E-02
     461  -1.702340561857E-05  -2.499766743047E-02
     462  -1.554395416386E-05  -2.282519758085E-02
     463  -1.371282149253E-05  -2.013630873189E-02
     464  -1.192304405367E-05  -1.750814711761E-02
     465  -1.080575617069E-05  -1.586748886457E-02
     466  -1.064663880792E-05  -1.563383626849E-02
     467  -1.080422631004E-05  -1.586524237239E-02
     468  -1.009690684395E-05  -1.482659375079E-02
     469  -7.696175724561E-06  -1.130128985702E-02
     470  -3.478155880498E-06  -5.107425971054E-03
     471   2.084691110828E-06   3.061221488309E-03
     472   8.106972430301E-06   1.190451577208E-02
     473   1.381384471187E-05   2.028465418617E-02
     474   1.900778248854E-05   2.791158454929E-02
     475   2.374720086683E-05   3.487108531481E-02
     476   2.763825932928E-05   4.058482953123E-02
     477   2.960301017173E-05   4.346992721637E-02
     478   2.844261795727E-05   4.176597330046E-02
     479   2.384102944440E-05   3.500886594638E-02
     480   1.690997226057E-05   2.483109856509E-02
     481   9.583345210809E-06   1.407246480634E-02
     482   3.420552288781E-06   5.022839169751E-03
     483  -8.513925912177E-07  -1.250209818464E-03
     484  -2.893428767028E-06  -4.248795550818E-03
     485  -2.551130475360E-06  -3.746154713324E-03
     486  -3.244466525435E-07  -4.764269677254E-04
     487   2.327939304394E-06   3.418414260547E-03
     488   3.460994041937E-06   5.082225024636E-03
     489   1.620708528104E-06   2.379895873660E-03
     490  -3.390346650107E-06  -4.978484325191E-03
     491  -1.056658709189E-05  -1.551628598394E-02
     492  -1.840186271538E-05  -2.702183420682E-02
     493  -2.549799437772E-05  -3.744200178741E-02
