# lag   C(lag)   C_norm(lag)
     360   5.146883136291E-05   5.244460237324E-02
     361   4.842340714538E-05   4.934144152974E-02
     362   4.507723940160E-05   4.593183551869E-02
     363   4.206210098980E-05   4.285953465388E-02
     364   3.850718052560E-05   3.923721828732E-02
     365   3.463029348759E-05   3.528683134885E-02
     366   3.107449826168E-05   3.166362363643E-02
     367   2.768386389800E-05   2.820870798577E-02
     368   2.488018194450E-05   2.535187247312E-02
     369   2.279804910009E-05   2.323026554673E-02
     370   2.041656550258E-05   2.080363263079E-02
     371   1.864252019093E-05   1.899595410968E-02
     372   1.706900559811E-05   1.739260806580E-02
     373   1.574038397257E-05   1.603879778857E-02
     374   1.370330556471E-05   1.396309946252E-02
     375   1.060609760385E-05   1.080717313443E-02
     376   7.820151572587E-06   7.968409790209E-03
     377   5.215462833806E-06   5.314340101931E-03
     378   2.926869823587E-06   2.982358837992E-03
     379   3.232109495063E-07   3.293385390862E-04
     380  -2.052243807737E-06  -2.091151238908E-03
     381  -4.440518492149E-06  -4.524703990454E-03
     382  -6.597188809753E-06  -6.722261507535E-03
     383  -9.633309959237E-06  -9.815942910926E-03
     384  -1.295048606363E-05  -1.319600764506E-02
     385  -1.526687275364E-05  -1.555630951482E-02
     386  -1.815097594783E-05  -1.849509093296E-02
     387  -2.186317887023E-05  -2.227767159467E-02
     388  -2.529130429938E-05  -2.577078908455E-02
     389  -2.906746060915E-05  -2.961853559289E-02
     390  -3.334665265659E-05  -3.397885463383E-02
     391  -3.707772653309E-05  -3.778066401432E-02
     392  -3.972378773814E-05  -4.047689052810E-02
     393  -4.162909770013E-05  -4.241832227832E-02
     394  -4.375551536208E-05  -4.458505359526E-02
     395  -4.578930778192E-05  -4.665740363593E-02
     396  -4.736676008038E-05  -4.826476203839E-02
     397  -4.815381674230E-05  -4.906674010134E-02
     398  -4.839124886078E-05  -4.930867357282E-02
     399  -4.868743321188E-05  -4.961047313017E-02
     400  -4.930333730576E-05  -5.023805383189E-02
     401  -5.005487134020E-05  -5.100383581222E-02
     402  -5.058330956163E-05  -5.154229242116E-02
     403  -5.076903485759E-05  -5.173153878716E-02
     404  -5.105025480830E-05  -5.201809024177E-02
     405  -5.160866873108E-05  -5.258709084591E-02
     406  -5.309903610116E-05  -5.410571332176E-02
     407  -5.353615816692E-05  -5.455112255917E-02
     408  -5.400633639733E-05  -5.503021465599E-02
     409  -5.473750022115E-05  -5.577524023738E-02
     410  -5.655685534267E-05  -5.762908757367E-02
     411  -5.926938598472E-05  -6.039304368420E-02
     412  -6.102666165044E-05  -6.218363463233E-02
     413  -6.349900811053E-05  -6.470285303296E-02
     414  -6.706625794485E-05  -6.833773251580E-02
     415  -7.095069803328E-05  -7.229581569907E-02
     416  -7.545570771370E-05  -7.688623353296E-02
     417  -8.029351647259E-05  -8.181575981127E-02
     418  -8.469028474536E-05  -8.629588414451E-02
     419  -8.865409361272E-05  -9.033484081844E-02
     420  -9.147546493877E-05  -9.320970106733E-02
     421  -9.370146421107E-05  -9.547790191097E-02
     422  -9.432347807551E-05  -9.611170821525E-02
