# lag   C(lag)   C_norm(lag)
     274   9.441454853725E+00   2.462715972041E-02
     275   1.125626698495E+01   2.936092892342E-02
     276   1.380677301841E+01   3.601368746827E-02
     277   1.577937641603E+01   4.115904056172E-02
     278   1.613980973289E+01   4.209919745496E-02
     279   1.474903046844E+01   3.847147867515E-02
     280   1.244952038186E+01   3.247341978928E-02
     281   1.064677437986E+01   2.777112396576E-02
     282   1.063060683286E+01   2.772895241821E-02
     283   1.295521465319E+01   3.379247641591E-02
     284   1.710894385892E+01   4.462709397959E-02
     285   2.172174157418E+01   5.665914919264E-02
     286   2.535493268808E+01   6.613599140001E-02
     287   2.730801642172E+01   7.123042925952E-02
     288   2.775821222057E+01   7.240472326565E-02
     289   2.722274938259E+01   7.100801809259E-02
     290   2.600367566671E+01   6.782817731836E-02
     291   2.416105008713E+01   6.302185931376E-02
     292   2.189494608003E+01   5.711093708930E-02
     293   1.973091496842E+01   5.146626255014E-02
     294   1.821273950812E+01   4.750624260368E-02
     295   1.754764700275E+01   4.577141046051E-02
     296   1.765158547863E+01   4.604252433927E-02
     297   1.843940566117E+01   4.809748025092E-02
     298   1.991263557508E+01   5.194026390628E-02
     299   2.192809527320E+01   5.719740368661E-02
     300   2.392823656640E+01   6.241458682779E-02
     301   2.499814606537E+01   6.520534657041E-02
     302   2.432172237150E+01   6.344095807249E-02
     303   2.168639160329E+01   5.656694207067E-02
     304   1.770862339710E+01   4.619130246192E-02
     305   1.365058443165E+01   3.560628401908E-02
     306   1.083605197373E+01   2.826483702249E-02
     307   9.970173874175E+00   2.600627427061E-02
     308   1.085706918704E+01   2.831965847501E-02
     309   1.264019464379E+01   3.297077592517E-02
     310   1.429422969045E+01   3.728517300786E-02
     311   1.503715822628E+01   3.922303322073E-02
     312   1.443331125944E+01   3.764795438708E-02
     313   1.237375835996E+01   3.227580157862E-02
     314   9.198595471768E+00   2.399368353674E-02
     315   5.840117664956E+00   1.523340552374E-02
     316   3.632742262524E+00   9.475671420168E-03
     317   3.687310502589E+00   9.618007615656E-03
     318   6.173915990747E+00   1.610408751195E-02
     319   1.012616218453E+01   2.641315531736E-02
     320   1.396096754162E+01   3.641588958754E-02
     321   1.615702878925E+01   4.214411176718E-02
     322   1.577673410665E+01   4.115214834265E-02
     323   1.291495549742E+01   3.368746414029E-02
     324   8.783399336604E+00   2.291068290872E-02
     325   5.091614873473E+00   1.328100538175E-02
     326   3.134084462071E+00   8.174968775518E-03
     327   3.244056905343E+00   8.461821698852E-03
     328   4.803985097910E+00   1.253074977677E-02
     329   6.643669278142E+00   1.732939541387E-02
     330   7.581919158893E+00   1.977673324780E-02
     331   6.958934356513E+00   1.815173514430E-02
     332   4.899057339857E+00   1.277873690626E-02
     333   2.176514520995E+00   5.677236355284E-03
     334  -9.105767317706E-02  -2.375154990246E-04
     335  -7.998210927165E-01  -2.086259173321E-03
     336   7.393142286077E-01   1.928432627553E-03
     337   4.508259081785E+00   1.175937587885E-02
     338   9.806433663041E+00   2.557917310933E-02
     339   1.563323021188E+01   4.077783173660E-02
     340   2.110153063017E+01   5.504138644155E-02
     341   2.549944210499E+01   6.651293081734E-02
     342   2.812047087984E+01   7.334964139534E-02
     343   2.824617029678E+01   7.367751667153E-02
     344   2.547715134937E+01   6.645478744776E-02
     345   2.012155119696E+01   5.248520093854E-02
     346   1.324590437127E+01   3.455071359727E-02
     347   6.354828803546E+00   1.657598181270E-02
     348   8.743362724761E-01   2.280625111830E-03
     349  -2.292546605128E+00  -5.979895290047E-03
     350  -2.954723944114E+00  -7.707123491959E-03
     351  -1.664941682440E+00  -4.342846031027E-03
     352   5.496213489629E-01   1.433636336387E-03
     353   2.740210236833E+00   7.147584372907E-03
